Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
2	0.740191474	2/1/1880	cooler	cooler	cooler	-0.113	-0.176	1	-0.243	1880	1880/02
3	0.417418269	3/1/1880	cooler	cooler	cooler	-0.044	-0.105	1	-0.184	1880	1880/03
4	0.959778129	4/1/1880	cooler	cooler	cooler	-0.083	-0.147	1	-0.203	1880	1880/04
5	0.299647024	5/1/1880	cooler	cooler	cooler	-0.188	-0.241	1	-0.333	1880	1880/05
6	0.202785263	6/1/1880	cooler	cooler	cooler	-0.256	-0.308	1	-0.371	1880	1880/06
7	0.263362837	7/1/1880	cooler	cooler	cooler	-0.192	-0.25	1	-0.31	1880	1880/07
8	0.364421193	8/1/1880	cooler	cooler	cooler	-0.059	-0.115	1	-0.171	1880	1880/08
9	0.653239772	9/1/1880	cooler	cooler	cooler	-0.18	-0.233	1	-0.297	1880	1880/09
10	0.490841927	10/1/1880	cooler	cooler	cooler	-0.326	-0.387	1	-0.449	1880	1880/10
11	0.493866065	11/1/1880	cooler	cooler	cooler	-0.347	-0.408	1	-0.466	1880	1880/11
12	0.154677039	12/1/1880	cooler	cooler	cooler	-0.234	-0.295	1	-0.367	1880	1880/12
1	0.076384642	1/1/1881	cooler	cooler	cooler	-0.305	-0.362	1	-0.435	1881	1881/01
2	0.861822134	2/1/1881	cooler	cooler	cooler	-0.176	-0.238	1	-0.312	1881	1881/02
3	0.640630678	3/1/1881	cooler	cooler	cooler	-0.12	-0.187	1	-0.261	1881	1881/03
4	0.832072939	4/1/1881	cooler	cooler	cooler	-0.074	-0.133	1	-0.19	1881	1881/04
5	0.427089883	5/1/1881	warmer	cooler	cooler	0.028	-0.03	1	-0.121	1881	1881/05
6	0.658677481	6/1/1881	cooler	cooler	cooler	-0.174	-0.229	1	-0.292	1881	1881/06
7	0.476338514	7/1/1881	cooler	cooler	cooler	-0.089	-0.151	1	-0.21	1881	1881/07
8	0.856761087	8/1/1881	cooler	cooler	cooler	-0.065	-0.128	1	-0.183	1881	1881/08
9	0.806847505	9/1/1881	cooler	cooler	cooler	-0.196	-0.244	1	-0.3	1881	1881/09
10	0.571139423	10/1/1881	cooler	cooler	cooler	-0.223	-0.284	1	-0.344	1881	1881/10
11	0.015924437	11/1/1881	cooler	cooler	cooler	-0.289	-0.341	1	-0.399	1881	1881/11
12	0.028460292	12/1/1881	cooler	cooler	cooler	-0.073	-0.138	1	-0.202	1881	1881/12
1	0.46066657	1/1/1882	warmer	warmer	warmer	0.174	0.114	1	0.05	1882	1882/01
2	0.13862904	2/1/1882	warmer	cooler	cooler	0.052	-0.009	1	-0.079	1882	1882/02
3	0.433422429	3/1/1882	warmer	cooler	cooler	0.005	-0.053	1	-0.128	1882	1882/03
4	0.629420205	4/1/1882	cooler	cooler	cooler	-0.226	-0.283	1	-0.338	1882	1882/04
5	0.897204674	5/1/1882	cooler	cooler	cooler	-0.321	-0.373	1	-0.458	1882	1882/05
6	0.285602928	6/1/1882	cooler	cooler	cooler	-0.265	-0.317	1	-0.38	1882	1882/06
7	0.480696271	7/1/1882	cooler	cooler	cooler	-0.126	-0.185	1	-0.247	1882	1882/07
8	0.280888271	8/1/1882	cooler	cooler	cooler	-0.165	-0.221	1	-0.283	1882	1882/08
9	0.639402838	9/1/1882	cooler	cooler	cooler	-0.109	-0.155	1	-0.22	1882	1882/09
10	0.832255425	10/1/1882	cooler	cooler	cooler	-0.278	-0.337	1	-0.395	1882	1882/10
11	0.073336794	11/1/1882	cooler	cooler	cooler	-0.257	-0.313	1	-0.379	1882	1882/11
12	0.732049535	12/1/1882	cooler	cooler	cooler	-0.402	-0.463	1	-0.526	1882	1882/12
1	0.974180224	1/1/1883	cooler	cooler	cooler	-0.359	-0.409	1	-0.475	1883	1883/01
2	0.109833102	2/1/1883	cooler	cooler	cooler	-0.256	-0.322	1	-0.385	1883	1883/02
3	0.166258669	3/1/1883	cooler	cooler	cooler	-0.288	-0.342	1	-0.412	1883	1883/03
4	0.34436304	4/1/1883	cooler	cooler	cooler	-0.335	-0.394	1	-0.45	1883	1883/04
5	0.843549029	5/1/1883	cooler	cooler	cooler	-0.195	-0.253	1	-0.339	1883	1883/05
6	0.796197308	6/1/1883	cooler	cooler	cooler	-0.066	-0.119	1	-0.176	1883	1883/06
7	0.161575582	7/1/1883	cooler	cooler	cooler	-0.134	-0.195	1	-0.259	1883	1883/07
8	0.162542433	8/1/1883	cooler	cooler	cooler	-0.158	-0.209	1	-0.263	1883	1883/08
9	0.205467017	9/1/1883	cooler	cooler	cooler	-0.232	-0.278	1	-0.335	1883	1883/09
10	0.087233654	10/1/1883	cooler	cooler	cooler	-0.324	-0.381	1	-0.434	1883	1883/10
11	0.147291469	11/1/1883	cooler	cooler	cooler	-0.253	-0.305	1	-0.362	1883	1883/11
12	0.127170467	12/1/1883	cooler	cooler	cooler	-0.259	-0.324	1	-0.393	1883	1883/12
1	0.207529485	1/1/1884	cooler	cooler	cooler	-0.359	-0.418	1	-0.486	1884	1884/01
2	0.804114382	2/1/1884	cooler	cooler	cooler	-0.154	-0.217	1	-0.287	1884	1884/02
3	0.037996263	3/1/1884	cooler	cooler	cooler	-0.396	-0.459	1	-0.53	1884	1884/03
4	0.236820223	4/1/1884	cooler	cooler	cooler	-0.475	-0.529	1	-0.584	1884	1884/04
5	0.193023867	5/1/1884	cooler	cooler	cooler	-0.34	-0.392	1	-0.472	1884	1884/05
6	0.975942674	6/1/1884	cooler	cooler	cooler	-0.362	-0.413	1	-0.469	1884	1884/06
7	0.836258779	7/1/1884	cooler	cooler	cooler	-0.374	-0.424	1	-0.483	1884	1884/07
8	0.343034919	8/1/1884	cooler	cooler	cooler	-0.359	-0.41	1	-0.464	1884	1884/08
9	0.574977892	9/1/1884	cooler	cooler	cooler	-0.291	-0.342	1	-0.394	1884	1884/09
10	0.39772352	10/1/1884	cooler	cooler	cooler	-0.27	-0.322	1	-0.379	1884	1884/10
11	0.377362254	11/1/1884	cooler	cooler	cooler	-0.511	-0.558	1	-0.619	1884	1884/11
12	0.816054466	12/1/1884	cooler	cooler	cooler	-0.353	-0.416	1	-0.48	1884	1884/12
1	0.690967739	1/1/1885	cooler	cooler	cooler	-0.454	-0.508	1	-0.577	1885	1885/01
2	0.489226727	2/1/1885	cooler	cooler	cooler	-0.352	-0.411	1	-0.473	1885	1885/02
3	0.52277991	3/1/1885	cooler	cooler	cooler	-0.427	-0.484	1	-0.55	1885	1885/03
4	0.868614173	4/1/1885	cooler	cooler	cooler	-0.418	-0.472	1	-0.528	1885	1885/04
5	0.253891964	5/1/1885	cooler	cooler	cooler	-0.47	-0.521	1	-0.605	1885	1885/05
6	0.669573033	6/1/1885	cooler	cooler	cooler	-0.44	-0.488	1	-0.546	1885	1885/06
7	0.434213722	7/1/1885	cooler	cooler	cooler	-0.251	-0.311	1	-0.376	1885	1885/07
8	0.590633149	8/1/1885	cooler	cooler	cooler	-0.463	-0.51	1	-0.562	1885	1885/08
9	0.524434362	9/1/1885	cooler	cooler	cooler	-0.286	-0.333	1	-0.39	1885	1885/09
10	0.603445449	10/1/1885	cooler	cooler	cooler	-0.195	-0.249	1	-0.301	1885	1885/10
11	0.916866163	11/1/1885	cooler	cooler	cooler	-0.211	-0.261	1	-0.325	1885	1885/11
12	0.005607689	12/1/1885	cooler	cooler	cooler	-0.092	-0.156	1	-0.216	1885	1885/12
1	0.301544732	1/1/1886	cooler	cooler	cooler	-0.352	-0.401	1	-0.466	1886	1886/01
2	0.819833982	2/1/1886	cooler	cooler	cooler	-0.396	-0.455	1	-0.522	1886	1886/02
3	0.711428957	3/1/1886	cooler	cooler	cooler	-0.358	-0.415	1	-0.476	1886	1886/03
4	0.56679696	4/1/1886	cooler	cooler	cooler	-0.277	-0.336	1	-0.394	1886	1886/04
5	0.593162612	5/1/1886	cooler	cooler	cooler	-0.133	-0.191	1	-0.273	1886	1886/05
6	0.436406244	6/1/1886	cooler	cooler	cooler	-0.332	-0.387	1	-0.439	1886	1886/06
7	0.348699368	7/1/1886	cooler	cooler	cooler	-0.226	-0.285	1	-0.342	1886	1886/07
8	0.480731071	8/1/1886	cooler	cooler	cooler	-0.29	-0.341	1	-0.394	1886	1886/08
9	0.491056623	9/1/1886	cooler	cooler	cooler	-0.381	-0.433	1	-0.484	1886	1886/09
10	0.156193953	10/1/1886	cooler	cooler	cooler	-0.31	-0.363	1	-0.418	1886	1886/10
11	0.009205304	11/1/1886	cooler	cooler	cooler	-0.374	-0.422	1	-0.485	1886	1886/11
12	0.596535475	12/1/1886	cooler	cooler	cooler	-0.363	-0.427	1	-0.491	1886	1886/12
1	0.828759224	1/1/1887	cooler	cooler	cooler	-0.506	-0.566	1	-0.632	1887	1887/01
2	0.372559511	2/1/1887	cooler	cooler	cooler	-0.497	-0.556	1	-0.624	1887	1887/02
3	0.183561128	3/1/1887	cooler	cooler	cooler	-0.402	-0.458	1	-0.524	1887	1887/03
4	0.370337486	4/1/1887	cooler	cooler	cooler	-0.378	-0.436	1	-0.493	1887	1887/04
5	0.397126441	5/1/1887	cooler	cooler	cooler	-0.295	-0.354	1	-0.441	1887	1887/05
6	0.372426763	6/1/1887	cooler	cooler	cooler	-0.349	-0.406	1	-0.465	1887	1887/06
7	0.498894747	7/1/1887	cooler	cooler	cooler	-0.213	-0.267	1	-0.33	1887	1887/07
8	0.610167611	8/1/1887	cooler	cooler	cooler	-0.321	-0.367	1	-0.423	1887	1887/08
9	0.745041952	9/1/1887	cooler	cooler	cooler	-0.294	-0.343	1	-0.398	1887	1887/09
10	0.909630782	10/1/1887	cooler	cooler	cooler	-0.448	-0.506	1	-0.562	1887	1887/10
11	0.907860954	11/1/1887	cooler	cooler	cooler	-0.358	-0.408	1	-0.465	1887	1887/11
12	0.633016545	12/1/1887	cooler	cooler	cooler	-0.339	-0.397	1	-0.461	1887	1887/12
1	0.060387303	1/1/1888	cooler	cooler	cooler	-0.538	-0.603	1	-0.672	1888	1888/01
2	0.683816207	2/1/1888	cooler	cooler	cooler	-0.397	-0.453	1	-0.524	1888	1888/02
3	0.012528971	3/1/1888	cooler	cooler	cooler	-0.486	-0.543	1	-0.616	1888	1888/03
4	0.332825429	4/1/1888	cooler	cooler	cooler	-0.189	-0.243	1	-0.3	1888	1888/04
5	0.479701034	5/1/1888	cooler	cooler	cooler	-0.289	-0.349	1	-0.427	1888	1888/05
6	0.403181552	6/1/1888	cooler	cooler	cooler	-0.245	-0.291	1	-0.348	1888	1888/06
7	0.044923063	7/1/1888	cooler	cooler	cooler	-0.242	-0.308	1	-0.371	1888	1888/07
8	0.885473248	8/1/1888	cooler	cooler	cooler	-0.231	-0.281	1	-0.344	1888	1888/08
9	0.241691455	9/1/1888	cooler	cooler	cooler	-0.173	-0.216	1	-0.277	1888	1888/09
10	0.767161384	10/1/1888	cooler	cooler	cooler	-0.049	-0.106	1	-0.157	1888	1888/10
11	0.181490575	11/1/1888	cooler	cooler	cooler	-0.15	-0.197	1	-0.263	1888	1888/11
12	0.726707946	12/1/1888	cooler	cooler	cooler	-0.119	-0.176	1	-0.253	1888	1888/12
1	0.521640369	1/1/1889	warmer	cooler	cooler	0.005	-0.054	1	-0.122	1889	1889/01
2	0.759393785	2/1/1889	cooler	cooler	cooler	-0.039	-0.095	1	-0.17	1889	1889/02
3	0.866309763	3/1/1889	cooler	cooler	cooler	-0.007	-0.068	1	-0.138	1889	1889/03
4	0.391274685	4/1/1889	warmer	cooler	warmer	0.07	0.013	1	-0.048	1889	1889/04
5	0.241865203	5/1/1889	cooler	cooler	cooler	-0.018	-0.079	1	-0.168	1889	1889/05
6	0.53076814	6/1/1889	cooler	cooler	cooler	-0.091	-0.149	1	-0.218	1889	1889/06
7	0.275936325	7/1/1889	cooler	cooler	cooler	-0.127	-0.196	1	-0.266	1889	1889/07
8	0.830814489	8/1/1889	cooler	cooler	cooler	-0.178	-0.227	1	-0.287	1889	1889/08
9	0.200792233	9/1/1889	cooler	cooler	cooler	-0.332	-0.381	1	-0.449	1889	1889/09
10	0.661008807	10/1/1889	cooler	cooler	cooler	-0.238	-0.299	1	-0.363	1889	1889/10
11	0.839357884	11/1/1889	cooler	cooler	cooler	-0.34	-0.399	1	-0.47	1889	1889/11
12	0.351124323	12/1/1889	cooler	cooler	cooler	-0.118	-0.175	1	-0.251	1889	1889/12
1	0.240517882	1/1/1890	cooler	cooler	cooler	-0.269	-0.324	1	-0.388	1890	1890/01
2	0.073346613	2/1/1890	cooler	cooler	cooler	-0.299	-0.366	1	-0.448	1890	1890/02
3	0.312799359	3/1/1890	cooler	cooler	cooler	-0.397	-0.46	1	-0.531	1890	1890/03
4	0.34344554	4/1/1890	cooler	cooler	cooler	-0.252	-0.319	1	-0.381	1890	1890/04
5	0.322385669	5/1/1890	cooler	cooler	cooler	-0.362	-0.425	1	-0.519	1890	1890/05
6	0.329370189	6/1/1890	cooler	cooler	cooler	-0.319	-0.378	1	-0.449	1890	1890/06
7	0.474205113	7/1/1890	cooler	cooler	cooler	-0.344	-0.414	1	-0.497	1890	1890/07
8	0.696985027	8/1/1890	cooler	cooler	cooler	-0.372	-0.421	1	-0.493	1890	1890/08
9	0.836991955	9/1/1890	cooler	cooler	cooler	-0.425	-0.477	1	-0.545	1890	1890/09
10	0.416064615	10/1/1890	cooler	cooler	cooler	-0.44	-0.504	1	-0.573	1890	1890/10
11	0.379823107	11/1/1890	cooler	cooler	cooler	-0.514	-0.57	1	-0.638	1890	1890/11
12	0.081925306	12/1/1890	cooler	cooler	cooler	-0.35	-0.407	1	-0.485	1890	1890/12
1	0.908527951	1/1/1891	cooler	cooler	cooler	-0.452	-0.515	1	-0.588	1891	1891/01
2	0.025109985	2/1/1891	cooler	cooler	cooler	-0.404	-0.467	1	-0.55	1891	1891/02
3	0.71086029	3/1/1891	cooler	cooler	cooler	-0.308	-0.371	1	-0.453	1891	1891/03
4	0.755092076	4/1/1891	cooler	cooler	cooler	-0.3	-0.36	1	-0.43	1891	1891/04
5	0.861854395	5/1/1891	cooler	cooler	cooler	-0.145	-0.207	1	-0.312	1891	1891/05
6	0.799698817	6/1/1891	cooler	cooler	cooler	-0.232	-0.3	1	-0.378	1891	1891/06
7	0.843356319	7/1/1891	cooler	cooler	cooler	-0.255	-0.332	1	-0.408	1891	1891/07
8	0.826425551	8/1/1891	cooler	cooler	cooler	-0.259	-0.318	1	-0.4	1891	1891/08
9	0.581809388	9/1/1891	cooler	cooler	cooler	-0.145	-0.204	1	-0.285	1891	1891/09
10	0.779013475	10/1/1891	cooler	cooler	cooler	-0.274	-0.332	1	-0.411	1891	1891/10
11	0.633192306	11/1/1891	cooler	cooler	cooler	-0.485	-0.546	1	-0.616	1891	1891/11
12	0.06647548	12/1/1891	cooler	cooler	cooler	-0.063	-0.124	1	-0.213	1891	1891/12
1	0.657461528	1/1/1892	cooler	cooler	cooler	-0.348	-0.407	1	-0.485	1892	1892/01
2	0.282989169	2/1/1892	cooler	cooler	cooler	-0.063	-0.121	1	-0.2	1892	1892/02
3	0.652153968	3/1/1892	cooler	cooler	cooler	-0.399	-0.459	1	-0.537	1892	1892/03
4	0.22985356	4/1/1892	cooler	cooler	cooler	-0.42	-0.483	1	-0.549	1892	1892/04
5	0.437492282	5/1/1892	cooler	cooler	cooler	-0.335	-0.401	1	-0.498	1892	1892/05
6	0.833282544	6/1/1892	cooler	cooler	cooler	-0.394	-0.466	1	-0.538	1892	1892/06
7	0.11806947	7/1/1892	cooler	cooler	cooler	-0.46	-0.535	1	-0.612	1892	1892/07
8	0.944454264	8/1/1892	cooler	cooler	cooler	-0.384	-0.445	1	-0.534	1892	1892/08
9	0.390217995	9/1/1892	cooler	cooler	cooler	-0.276	-0.325	1	-0.398	1892	1892/09
10	0.504037026	10/1/1892	cooler	cooler	cooler	-0.383	-0.444	1	-0.528	1892	1892/10
11	0.075324114	11/1/1892	cooler	cooler	cooler	-0.564	-0.627	1	-0.695	1892	1892/11
12	0.971207399	12/1/1892	cooler	cooler	cooler	-0.732	-0.794	1	-0.875	1892	1892/12
1	0.777054763	1/1/1893	cooler	cooler	cooler	-0.897	-0.962	1	-1.044	1893	1893/01
2	0.990305975	2/1/1893	cooler	cooler	cooler	-0.657	-0.723	1	-0.807	1893	1893/02
3	0.20604362	3/1/1893	cooler	cooler	cooler	-0.312	-0.374	1	-0.46	1893	1893/03
4	0.196385188	4/1/1893	cooler	cooler	cooler	-0.508	-0.562	1	-0.637	1893	1893/04
5	0.339196249	5/1/1893	cooler	cooler	cooler	-0.488	-0.551	1	-0.649	1893	1893/05
6	0.28196089	6/1/1893	cooler	cooler	cooler	-0.4	-0.463	1	-0.544	1893	1893/06
7	0.03559952	7/1/1893	cooler	cooler	cooler	-0.205	-0.278	1	-0.359	1893	1893/07
8	0.649856673	8/1/1893	cooler	cooler	cooler	-0.234	-0.288	1	-0.372	1893	1893/08
9	0.895218567	9/1/1893	cooler	cooler	cooler	-0.388	-0.44	1	-0.512	1893	1893/09
10	0.343834781	10/1/1893	cooler	cooler	cooler	-0.212	-0.271	1	-0.347	1893	1893/10
11	0.602182844	11/1/1893	cooler	cooler	cooler	-0.345	-0.415	1	-0.483	1893	1893/11
12	0.132903771	12/1/1893	cooler	cooler	cooler	-0.285	-0.352	1	-0.428	1893	1893/12
1	0.746100591	1/1/1894	cooler	cooler	cooler	-0.398	-0.454	1	-0.526	1894	1894/01
2	0.119476882	2/1/1894	cooler	cooler	cooler	-0.318	-0.379	1	-0.466	1894	1894/02
3	0.816780121	3/1/1894	cooler	cooler	cooler	-0.313	-0.38	1	-0.467	1894	1894/03
4	0.110310841	4/1/1894	cooler	cooler	cooler	-0.316	-0.379	1	-0.453	1894	1894/04
5	0.19127327	5/1/1894	cooler	cooler	cooler	-0.362	-0.426	1	-0.526	1894	1894/05
6	0.06516177	6/1/1894	cooler	cooler	cooler	-0.426	-0.493	1	-0.571	1894	1894/06
7	0.563619447	7/1/1894	cooler	cooler	cooler	-0.244	-0.316	1	-0.404	1894	1894/07
8	0.879726052	8/1/1894	cooler	cooler	cooler	-0.285	-0.343	1	-0.426	1894	1894/08
9	0.180744151	9/1/1894	cooler	cooler	cooler	-0.41	-0.465	1	-0.535	1894	1894/09
10	0.421397209	10/1/1894	cooler	cooler	cooler	-0.375	-0.443	1	-0.528	1894	1894/10
11	0.569317174	11/1/1894	cooler	cooler	cooler	-0.355	-0.424	1	-0.499	1894	1894/11
12	0.946430712	12/1/1894	cooler	cooler	cooler	-0.346	-0.404	1	-0.479	1894	1894/12
1	0.432847333	1/1/1895	cooler	cooler	cooler	-0.437	-0.497	1	-0.573	1895	1895/01
2	0.535640488	2/1/1895	cooler	cooler	cooler	-0.617	-0.678	1	-0.763	1895	1895/02
3	0.374232903	3/1/1895	cooler	cooler	cooler	-0.462	-0.527	1	-0.617	1895	1895/03
4	0.971045788	4/1/1895	cooler	cooler	cooler	-0.336	-0.408	1	-0.483	1895	1895/04
5	0.291913077	5/1/1895	cooler	cooler	cooler	-0.351	-0.415	1	-0.507	1895	1895/05
6	0.744348024	6/1/1895	cooler	cooler	cooler	-0.261	-0.332	1	-0.417	1895	1895/06
7	0.705750999	7/1/1895	cooler	cooler	cooler	-0.279	-0.359	1	-0.445	1895	1895/07
8	0.371444667	8/1/1895	cooler	cooler	cooler	-0.21	-0.267	1	-0.342	1895	1895/08
9	0.350061935	9/1/1895	cooler	cooler	cooler	-0.239	-0.286	1	-0.359	1895	1895/09
10	0.86219322	10/1/1895	cooler	cooler	cooler	-0.285	-0.343	1	-0.411	1895	1895/10
11	0.285889444	11/1/1895	cooler	cooler	cooler	-0.237	-0.302	1	-0.373	1895	1895/11
12	0.023486414	12/1/1895	cooler	cooler	cooler	-0.261	-0.318	1	-0.399	1895	1895/12
1	0.994130575	1/1/1896	cooler	cooler	cooler	-0.16	-0.224	1	-0.297	1896	1896/01
2	0.700516811	2/1/1896	cooler	cooler	cooler	-0.173	-0.233	1	-0.317	1896	1896/02
3	0.419321408	3/1/1896	cooler	cooler	cooler	-0.318	-0.384	1	-0.472	1896	1896/03
4	0.128628601	4/1/1896	cooler	cooler	cooler	-0.285	-0.35	1	-0.421	1896	1896/04
5	0.596765771	5/1/1896	cooler	cooler	cooler	-0.143	-0.207	1	-0.308	1896	1896/05
6	0.992596041	6/1/1896	cooler	cooler	cooler	-0.057	-0.124	1	-0.208	1896	1896/06
7	0.778264405	7/1/1896	cooler	cooler	cooler	-0.046	-0.112	1	-0.189	1896	1896/07
8	0.723431891	8/1/1896	cooler	cooler	cooler	-0.018	-0.068	1	-0.14	1896	1896/08
9	0.415059696	9/1/1896	cooler	cooler	cooler	-0.062	-0.111	1	-0.182	1896	1896/09
10	0.599779269	10/1/1896	cooler	cooler	cooler	-0.068	-0.13	1	-0.195	1896	1896/10
11	0.690533621	11/1/1896	cooler	cooler	cooler	-0.231	-0.293	1	-0.367	1896	1896/11
12	0.366295335	12/1/1896	warmer	cooler	cooler	0.026	-0.032	1	-0.112	1896	1896/12
1	0.518538081	1/1/1897	cooler	cooler	cooler	-0.127	-0.203	1	-0.277	1897	1897/01
2	0.052642098	2/1/1897	cooler	cooler	cooler	-0.061	-0.124	1	-0.206	1897	1897/02
3	0.120295445	3/1/1897	cooler	cooler	cooler	-0.213	-0.276	1	-0.364	1897	1897/03
4	0.163666679	4/1/1897	cooler	cooler	cooler	-0.009	-0.07	1	-0.139	1897	1897/04
5	0.833772176	5/1/1897	warmer	cooler	cooler	0.033	-0.028	1	-0.116	1897	1897/05
6	0.437786028	6/1/1897	cooler	cooler	cooler	-0.096	-0.162	1	-0.247	1897	1897/06
7	0.093738665	7/1/1897	cooler	cooler	cooler	-0.091	-0.165	1	-0.24	1897	1897/07
8	0.45783742	8/1/1897	cooler	cooler	cooler	-0.1	-0.16	1	-0.228	1897	1897/08
9	0.762903227	9/1/1897	cooler	cooler	cooler	-0.094	-0.142	1	-0.21	1897	1897/09
10	0.303978625	10/1/1897	cooler	cooler	cooler	-0.201	-0.262	1	-0.334	1897	1897/10
11	0.724232149	11/1/1897	cooler	cooler	cooler	-0.391	-0.46	1	-0.523	1897	1897/11
12	0.730795783	12/1/1897	cooler	cooler	cooler	-0.423	-0.484	1	-0.565	1897	1897/12
1	0.7010117	1/1/1898	cooler	cooler	cooler	-0.018	-0.084	1	-0.157	1898	1898/01
2	0.575716968	2/1/1898	cooler	cooler	cooler	-0.321	-0.378	1	-0.463	1898	1898/02
3	0.600532814	3/1/1898	cooler	cooler	cooler	-0.685	-0.752	1	-0.836	1898	1898/03
4	0.5899065	4/1/1898	cooler	cooler	cooler	-0.501	-0.569	1	-0.638	1898	1898/04
5	0.803073923	5/1/1898	cooler	cooler	cooler	-0.412	-0.471	1	-0.567	1898	1898/05
6	0.724427286	6/1/1898	cooler	cooler	cooler	-0.264	-0.322	1	-0.403	1898	1898/06
7	0.412706923	7/1/1898	cooler	cooler	cooler	-0.312	-0.383	1	-0.457	1898	1898/07
8	0.856026924	8/1/1898	cooler	cooler	cooler	-0.253	-0.309	1	-0.378	1898	1898/08
9	0.152149018	9/1/1898	cooler	cooler	cooler	-0.284	-0.335	1	-0.406	1898	1898/09
10	0.498120213	10/1/1898	cooler	cooler	cooler	-0.498	-0.561	1	-0.629	1898	1898/10
11	0.236705164	11/1/1898	cooler	cooler	cooler	-0.381	-0.454	1	-0.52	1898	1898/11
12	0.302840308	12/1/1898	cooler	cooler	cooler	-0.297	-0.361	1	-0.44	1898	1898/12
1	0.659765589	1/1/1899	cooler	cooler	cooler	-0.152	-0.212	1	-0.286	1899	1899/01
2	0.307886323	2/1/1899	cooler	cooler	cooler	-0.441	-0.501	1	-0.587	1899	1899/02
3	0.155978262	3/1/1899	cooler	cooler	cooler	-0.48	-0.542	1	-0.625	1899	1899/03
4	0.982160227	4/1/1899	cooler	cooler	cooler	-0.278	-0.347	1	-0.412	1899	1899/04
5	0.127859264	5/1/1899	cooler	cooler	cooler	-0.245	-0.311	1	-0.4	1899	1899/05
6	0.351271059	6/1/1899	cooler	cooler	cooler	-0.323	-0.392	1	-0.478	1899	1899/06
7	0.281059971	7/1/1899	cooler	cooler	cooler	-0.209	-0.283	1	-0.354	1899	1899/07
8	0.376369736	8/1/1899	cooler	cooler	cooler	-0.094	-0.15	1	-0.22	1899	1899/08
9	0.66911408	9/1/1899	cooler	cooler	cooler	-0.078	-0.14	1	-0.21	1899	1899/09
10	0.594148618	10/1/1899	cooler	cooler	cooler	-0.125	-0.189	1	-0.262	1899	1899/10
11	0.014227497	11/1/1899	warmer	cooler	warmer	0.096	0.027	1	-0.049	1899	1899/11
12	0.043982055	12/1/1899	cooler	cooler	cooler	-0.389	-0.457	1	-0.536	1899	1899/12
1	0.795322397	1/1/1900	cooler	cooler	cooler	-0.178	-0.246	1	-0.322	1900	1900/01
2	0.879603113	2/1/1900	cooler	cooler	cooler	-0.101	-0.164	1	-0.255	1900	1900/02
3	0.423092214	3/1/1900	cooler	cooler	cooler	-0.207	-0.276	1	-0.356	1900	1900/03
4	0.012235714	4/1/1900	cooler	cooler	cooler	-0.176	-0.252	1	-0.321	1900	1900/04
5	0.902611626	5/1/1900	cooler	cooler	cooler	-0.205	-0.276	1	-0.375	1900	1900/05
6	0.844072733	6/1/1900	cooler	cooler	cooler	-0.11	-0.184	1	-0.275	1900	1900/06
7	0.912951809	7/1/1900	cooler	cooler	cooler	-0.124	-0.193	1	-0.269	1900	1900/07
8	0.401069927	8/1/1900	cooler	cooler	cooler	-0.127	-0.184	1	-0.253	1900	1900/08
9	0.955331593	9/1/1900	cooler	cooler	cooler	-0.171	-0.223	1	-0.295	1900	1900/09
10	0.06111271	10/1/1900	warmer	cooler	cooler	0.002	-0.06	1	-0.13	1900	1900/10
11	0.693656827	11/1/1900	cooler	cooler	cooler	-0.196	-0.262	1	-0.324	1900	1900/11
12	0.600136692	12/1/1900	cooler	cooler	cooler	-0.022	-0.087	1	-0.17	1900	1900/12
1	0.724844234	1/1/1901	cooler	cooler	cooler	-0.116	-0.182	1	-0.263	1901	1901/01
2	0.71613627	2/1/1901	cooler	cooler	cooler	-0.209	-0.27	1	-0.356	1901	1901/02
3	0.877084891	3/1/1901	cooler	cooler	cooler	-0.174	-0.246	1	-0.327	1901	1901/03
4	0.677460072	4/1/1901	cooler	cooler	cooler	-0.128	-0.193	1	-0.261	1901	1901/04
5	0.52879147	5/1/1901	cooler	cooler	cooler	-0.13	-0.197	1	-0.289	1901	1901/05
6	0.852608734	6/1/1901	cooler	cooler	cooler	-0.088	-0.159	1	-0.241	1901	1901/06
7	0.4321851	7/1/1901	cooler	cooler	cooler	-0.116	-0.194	1	-0.28	1901	1901/07
8	0.970241962	8/1/1901	cooler	cooler	cooler	-0.143	-0.199	1	-0.272	1901	1901/08
9	0.505128118	9/1/1901	cooler	cooler	cooler	-0.289	-0.349	1	-0.421	1901	1901/09
10	0.679555387	10/1/1901	cooler	cooler	cooler	-0.238	-0.298	1	-0.369	1901	1901/10
11	0.194213211	11/1/1901	cooler	cooler	cooler	-0.372	-0.446	1	-0.518	1901	1901/11
12	0.112396003	12/1/1901	cooler	cooler	cooler	-0.372	-0.442	1	-0.53	1901	1901/12
1	0.263618968	1/1/1902	cooler	cooler	cooler	-0.175	-0.239	1	-0.324	1902	1902/01
2	0.82751291	2/1/1902	cooler	cooler	cooler	-0.211	-0.27	1	-0.352	1902	1902/02
3	0.590094432	3/1/1902	cooler	cooler	cooler	-0.326	-0.393	1	-0.47	1902	1902/03
4	0.385199226	4/1/1902	cooler	cooler	cooler	-0.385	-0.449	1	-0.507	1902	1902/04
5	0.972138776	5/1/1902	cooler	cooler	cooler	-0.347	-0.405	1	-0.49	1902	1902/05
