Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
1	0.183284574	1/1/1863	warmer	warmer	warmer	0.199	0.131	1	0.067	1863	1863/01
2	0.896605856	2/1/1863	warmer	cooler	cooler	0.05	-0.02	1	-0.092	1863	1863/02
3	0.644933216	3/1/1863	cooler	cooler	cooler	-0.299	-0.356	1	-0.431	1863	1863/03
4	0.337085945	4/1/1863	cooler	cooler	cooler	-0.178	-0.241	1	-0.31	1863	1863/04
5	0.043110636	5/1/1863	cooler	cooler	cooler	-0.268	-0.32	1	-0.4	1863	1863/05
6	0.969679892	6/1/1863	cooler	cooler	cooler	-0.336	-0.402	1	-0.473	1863	1863/06
7	0.005452456	7/1/1863	cooler	cooler	cooler	-0.347	-0.416	1	-0.498	1863	1863/07
8	0.635920233	8/1/1863	cooler	cooler	cooler	-0.262	-0.321	1	-0.395	1863	1863/08
9	0.519730629	9/1/1863	cooler	cooler	cooler	-0.256	-0.324	1	-0.401	1863	1863/09
10	0.347572245	10/1/1863	cooler	cooler	cooler	-0.325	-0.381	1	-0.455	1863	1863/10
11	0.464664725	11/1/1863	cooler	cooler	cooler	-0.279	-0.333	1	-0.407	1863	1863/11
12	0.889172375	12/1/1863	cooler	cooler	cooler	-0.271	-0.351	1	-0.438	1863	1863/12
1	0.534689854	1/1/1864	cooler	cooler	cooler	-0.872	-0.937	1	-1.009	1864	1864/01
2	0.596108287	2/1/1864	cooler	cooler	cooler	-0.561	-0.63	1	-0.703	1864	1864/02
3	0.787333081	3/1/1864	cooler	cooler	cooler	-0.446	-0.509	1	-0.593	1864	1864/03
4	0.412940501	4/1/1864	cooler	cooler	cooler	-0.475	-0.538	1	-0.606	1864	1864/04
5	0.34870053	5/1/1864	cooler	cooler	cooler	-0.388	-0.449	1	-0.54	1864	1864/05
6	0.221092203	6/1/1864	cooler	cooler	cooler	-0.1	-0.162	1	-0.238	1864	1864/06
7	0.085399031	7/1/1864	cooler	cooler	cooler	-0.082	-0.146	1	-0.228	1864	1864/07
8	0.880328323	8/1/1864	cooler	cooler	cooler	-0.25	-0.31	1	-0.391	1864	1864/08
9	0.238160005	9/1/1864	cooler	cooler	cooler	-0.374	-0.439	1	-0.516	1864	1864/09
10	0.930430085	10/1/1864	cooler	cooler	cooler	-0.642	-0.701	1	-0.787	1864	1864/10
11	0.873237556	11/1/1864	cooler	cooler	cooler	-0.415	-0.468	1	-0.543	1864	1864/11
12	0.628531318	12/1/1864	cooler	cooler	cooler	-0.532	-0.602	1	-0.683	1864	1864/12
